,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,59,40,6,65,99
Mar27bS1C2R1_LHl_200x_g.png,79,66,10,89,145
Mar24bS1C2R3_DMl_200x_g.png,28,2,12,40,30
Mar19bS1C4R3_DMr_200x_g.png,12,3,0,12,15
Mar20bS2C1R3_LHl_200x_g.png,26,14,0,26,40
Mar23bS1C6R1_DMl_200x_g.png,35,19,3,38,54
Mar20bS2C1R1_DMr_200x_g.png,28,18,3,31,46
Mar26bS1C4R3_DMr_200x_g.png,50,26,6,56,76
Mar24bS2C2R3_VLPAGl_200x_g.png,26,8,6,32,34
Mar22bS1C4R3_DMr_200x_g.png,13,41,0,13,54
Mar21bS2C1R2_DMl_200x_g.png,39,57,0,39,96
Mar20bS1C4R3_DMl_200x_g.png,21,28,0,21,49
Mar21bS1C2R2_VLPAGr_200x_g.png,35,34,0,35,69
Mar23bS1C5R2_DMl_200x_g.png,42,28,6,48,70
Mar24bS1C1R1_DMr_200x_g.png,39,7,19,58,46
Mar20bS2C1R1_LHl_200x_g.png,53,28,3,56,81
Mar19bS1C4R3_LHr_200x_g.png,7,0,3,10,7
Mar24bS2C2R2_VLPAGl_200x_g.png,46,33,8,54,79
Mar22bS1C3R3_LHl_200x_g.png,19,25,1,20,44
Mar19bS1C5R3_LHr_200x_g.png,11,3,0,11,14
Mar23bS1C6R3_LHr_200x_g.png,34,29,3,37,63
Mar21bS2C1R2_LHr_200x_g.png,57,57,0,57,114
Mar20bS1C4R1_LHl_200x_g.png,29,10,0,29,39
Mar24bS2C4R3_DMr_200x_g.png,36,3,11,47,39
Mar21bS2C1R1_LHr_200x_g.png,54,28,0,54,82
Mar20bS1C3R1_VLPAGl_200x_g.png,14,7,0,14,21
Mar26bS1C2R1_VLPAGl_200x_g.png,33,35,0,33,68
Mar19bS1C4R2_DMr_200x_g.png,11,3,7,18,14
Mar22bS1C1R3_VLPAGl_200x_g.png,21,49,1,22,70
Mar23bS1C5R3_DMl_200x_g.png,50,33,0,50,83
Mar20bS2C1R1_LHr_200x_g.png,23,12,2,25,35
Mar20bS2C2R2_LHr_200x_g.png,37,13,0,37,50
Mar20bS1C1R3_VLPAGr_200x_g.png,38,16,1,39,54
Mar20bS2C2R1_LHl_200x_g.png,23,7,2,25,30
Mar19bS1C2R3_VLPAGr_200x_g.png,6,1,8,14,7
Mar23bS1C2R1_VLPAGr_200x_g.png,40,9,6,46,49
Mar23bS1C6R2_LHr_200x_g.png,75,18,16,91,93
Mar24bS1C2R3_DMr_200x_g.png,16,3,11,27,19
Mar26bS1C4R3_LHr_200x_g.png,42,16,2,44,58
