,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,53,25,12,65,78
Mar27bS1C2R1_LHl_200x_g.png,78,52,11,89,130
Mar24bS1C2R3_DMl_200x_g.png,24,1,16,40,25
Mar19bS1C4R3_DMr_200x_g.png,11,2,1,12,13
Mar20bS2C1R3_LHl_200x_g.png,23,9,3,26,32
Mar23bS1C6R1_DMl_200x_g.png,32,8,6,38,40
Mar20bS2C1R1_DMr_200x_g.png,26,10,5,31,36
Mar26bS1C4R3_DMr_200x_g.png,46,21,10,56,67
Mar24bS2C2R3_VLPAGl_200x_g.png,21,8,11,32,29
Mar22bS1C4R3_DMr_200x_g.png,13,29,0,13,42
Mar21bS2C1R2_DMl_200x_g.png,39,41,0,39,80
Mar20bS1C4R3_DMl_200x_g.png,21,16,0,21,37
Mar21bS1C2R2_VLPAGr_200x_g.png,35,25,0,35,60
Mar23bS1C5R2_DMl_200x_g.png,36,11,12,48,47
Mar24bS1C1R1_DMr_200x_g.png,29,11,29,58,40
Mar20bS2C1R1_LHl_200x_g.png,51,15,5,56,66
Mar19bS1C4R3_LHr_200x_g.png,7,2,3,10,9
Mar24bS2C2R2_VLPAGl_200x_g.png,40,24,14,54,64
Mar22bS1C3R3_LHl_200x_g.png,19,13,1,20,32
Mar19bS1C5R3_LHr_200x_g.png,9,3,2,11,12
Mar23bS1C6R3_LHr_200x_g.png,33,19,4,37,52
Mar21bS2C1R2_LHr_200x_g.png,57,48,0,57,105
Mar20bS1C4R1_LHl_200x_g.png,25,5,4,29,30
Mar24bS2C4R3_DMr_200x_g.png,30,5,17,47,35
Mar21bS2C1R1_LHr_200x_g.png,51,20,3,54,71
Mar20bS1C3R1_VLPAGl_200x_g.png,13,4,1,14,17
Mar26bS1C2R1_VLPAGl_200x_g.png,28,6,5,33,34
Mar19bS1C4R2_DMr_200x_g.png,8,3,10,18,11
Mar22bS1C1R3_VLPAGl_200x_g.png,21,18,1,22,39
Mar23bS1C5R3_DMl_200x_g.png,49,24,1,50,73
Mar20bS2C1R1_LHr_200x_g.png,23,11,2,25,34
Mar20bS2C2R2_LHr_200x_g.png,34,9,3,37,43
Mar20bS1C1R3_VLPAGr_200x_g.png,33,12,6,39,45
Mar20bS2C2R1_LHl_200x_g.png,20,7,5,25,27
Mar19bS1C2R3_VLPAGr_200x_g.png,6,0,8,14,6
Mar23bS1C2R1_VLPAGr_200x_g.png,34,2,12,46,36
Mar23bS1C6R2_LHr_200x_g.png,66,9,25,91,75
Mar24bS1C2R3_DMr_200x_g.png,13,3,14,27,16
Mar26bS1C4R3_LHr_200x_g.png,37,5,7,44,42
