,TP,FP,FN,Target_count,Predicted_count
Mar21bS1C1R2_VLPAGr_200x_g.png,37,10,28,65,47
Mar27bS1C2R1_LHl_200x_g.png,70,47,19,89,117
Mar24bS1C2R3_DMl_200x_g.png,14,5,26,40,19
Mar19bS1C4R3_DMr_200x_g.png,10,5,2,12,15
Mar20bS2C1R3_LHl_200x_g.png,17,5,9,26,22
Mar23bS1C6R1_DMl_200x_g.png,21,11,17,38,32
Mar20bS2C1R1_DMr_200x_g.png,21,11,10,31,32
Mar26bS1C4R3_DMr_200x_g.png,34,9,22,56,43
Mar24bS2C2R3_VLPAGl_200x_g.png,12,3,20,32,15
Mar22bS1C4R3_DMr_200x_g.png,12,23,1,13,35
Mar21bS2C1R2_DMl_200x_g.png,36,32,3,39,68
Mar20bS1C4R3_DMl_200x_g.png,17,7,4,21,24
Mar21bS1C2R2_VLPAGr_200x_g.png,31,14,4,35,45
Mar23bS1C5R2_DMl_200x_g.png,22,4,26,48,26
Mar24bS1C1R1_DMr_200x_g.png,16,2,42,58,18
Mar20bS2C1R1_LHl_200x_g.png,44,10,12,56,54
Mar19bS1C4R3_LHr_200x_g.png,5,0,5,10,5
Mar24bS2C2R2_VLPAGl_200x_g.png,22,9,32,54,31
Mar22bS1C3R3_LHl_200x_g.png,16,5,4,20,21
Mar19bS1C5R3_LHr_200x_g.png,5,0,6,11,5
Mar23bS1C6R3_LHr_200x_g.png,25,3,12,37,28
Mar21bS2C1R2_LHr_200x_g.png,56,30,1,57,86
Mar20bS1C4R1_LHl_200x_g.png,16,3,13,29,19
Mar24bS2C4R3_DMr_200x_g.png,19,3,28,47,22
Mar21bS2C1R1_LHr_200x_g.png,41,13,13,54,54
Mar20bS1C3R1_VLPAGl_200x_g.png,10,1,4,14,11
Mar26bS1C2R1_VLPAGl_200x_g.png,17,7,16,33,24
Mar19bS1C4R2_DMr_200x_g.png,5,0,13,18,5
Mar22bS1C1R3_VLPAGl_200x_g.png,17,2,5,22,19
Mar23bS1C5R3_DMl_200x_g.png,43,24,7,50,67
Mar20bS2C1R1_LHr_200x_g.png,15,6,10,25,21
Mar20bS2C2R2_LHr_200x_g.png,29,4,8,37,33
Mar20bS1C1R3_VLPAGr_200x_g.png,26,20,13,39,46
Mar20bS2C2R1_LHl_200x_g.png,15,6,10,25,21
Mar19bS1C2R3_VLPAGr_200x_g.png,2,1,12,14,3
Mar23bS1C2R1_VLPAGr_200x_g.png,24,6,22,46,30
Mar23bS1C6R2_LHr_200x_g.png,45,13,46,91,58
Mar24bS1C2R3_DMr_200x_g.png,8,1,19,27,9
Mar26bS1C4R3_LHr_200x_g.png,31,4,13,44,35
